fold,split,c_index,mean_auc,risk_mean,risk_std,s3_mean,s3_std,s5_mean,s5_std
0,train,0.5867317867317867,0.584267944479115,-0.08917217959260827,0.17047251164894883,0.6356952800633958,0.0470493649717527,0.48459275800625806,0.05816117657171226
0,val,0.707196029776675,0.7376031746031746,-0.10375317754223942,0.15614785077779672,0.6402835378825311,0.044059306976396324,0.49001664857157956,0.054056868152631304
0,test,0.44607843137254904,0.4721460732441125,-0.13642285565535228,0.17366216160886797,0.649032486283493,0.04641639067754099,0.5008893213697709,0.05815505162990846
1,train,0.5165796868727419,0.5042499530791157,-0.0462660836095006,0.01851042209476213,0.6257716541840552,0.005402061851752803,0.48406321200303937,0.006482632378979078
1,val,0.49135802469135803,0.47909919709919707,-0.049564014002680776,0.023547826863505608,0.6267229436109152,0.006864505438072892,0.4852112588625989,0.008241523167126303
1,test,0.5658263305322129,0.5550286781379218,-0.05006296624397409,0.020470559828492062,0.6268792476408898,0.005948805849344183,0.4853925952592549,0.007153019682352024
2,train,0.5704290856149149,0.5565768028050122,-0.08764770820101758,0.1729311807729571,0.6163530236274516,0.04888563892537457,0.4859357385777122,0.058465838999178954
2,val,0.5862068965517241,0.6601072631072632,-0.10645706395929058,0.17210366307705757,0.621992778639804,0.04879837688763432,0.49254860067399303,0.05840316609524761
2,test,0.6090425531914894,0.6761874628639334,-0.1002216558282574,0.15130824353412053,0.6206618224482182,0.04279950465838211,0.49072721145979303,0.051295521589163576
3,train,0.5755427738172392,0.580797273820046,0.030758219055894306,0.1554937625288748,0.6240431590617671,0.04353531920857813,0.49478073874668904,0.052315645042886494
3,val,0.5972602739726027,0.6534357611199717,-0.006625568121671676,0.1588238218813245,0.6348694870551751,0.045274363757327234,0.507698458463043,0.054136556217968604
3,test,0.5467625899280576,0.5708937748411433,0.06245914613828063,0.1618307347988901,0.6145798962378538,0.045490012461048446,0.48367429278401236,0.054585338859959
4,train,0.5733322597528081,0.5764140574179769,0.0034842358996407894,0.038808642465961156,0.6197330124498973,0.011307507100910792,0.48556498545540505,0.013475940533516948
4,val,0.5692307692307692,0.5846899951899952,-0.0004566463641822338,0.043937888486013585,0.620871720244566,0.012856762306054283,0.4869285944983653,0.015297771653076778
4,test,0.5039370078740157,0.480109650697886,0.010878133618583282,0.027588883724580352,0.6175968040245168,0.00819676962180745,0.48300984759823823,0.009687199757800715
5,train,0.5965457968404682,0.6141206006379906,-0.007046586617764541,0.1829274778182211,0.6233176713074529,0.051536822530573345,0.48651936231000553,0.06216584399481666
5,val,0.6244019138755981,0.6639905623094029,0.01628046026453376,0.17152930899486746,0.6168388340648429,0.04979715159088994,0.47871024020782016,0.05938878921263851
5,test,0.4739454094292804,0.42633119620711535,0.038746530065933864,0.14187724105079916,0.6108292984109466,0.041411509894248605,0.4712383561622261,0.04931581333983061
6,train,0.5550788591975158,0.5429488744365728,-0.15944403356514902,0.061387917014080105,0.6200168201683833,0.01787693456054652,0.48417257406019804,0.021334496005065026
6,val,0.5566502463054187,0.5316246913580246,-0.1721193845073382,0.07886786841853836,0.6235793011136361,0.022422461700825798,0.48848177247994645,0.027002948590746305
6,test,0.5459057071960298,0.5421750341162106,-0.1684442865351836,0.07384124278743494,0.6225579853225205,0.021486363706918088,0.4872501548031582,0.02564701217200427
7,train,0.5653495440729484,0.5580173345952397,-0.07881776852934044,0.07518950140438407,0.6162504134552849,0.021892090510802445,0.48403988132621595,0.026010056705560426
7,val,0.5975903614457831,0.6908437118437118,-0.08653873627384503,0.07083279148826717,0.6186074023377472,0.020679833601868588,0.48678742632674094,0.024563446381558652
7,test,0.584,0.5821951089845826,-0.0649007545163234,0.07289033451349212,0.6121262291928266,0.021302243818483817,0.4791739381247658,0.025278561777003383
8,train,0.5849507791638436,0.5923545479943466,-0.07361346017960615,0.11555798279812446,0.6167595075450191,0.033479253850003735,0.4864880680762047,0.039753593833070894
8,val,0.6365979381443299,0.6677714350779367,-0.08631885883708795,0.11844689355748429,0.6205044375876362,0.034308323651934564,0.49091008406063347,0.04075541266263161
8,test,0.6358543417366946,0.6563492063492062,-0.1046215579042147,0.1321293928093473,0.6256283094181152,0.038195419263472745,0.49709392484071685,0.04540994248292108
9,train,0.5554042144058969,0.5512071459371956,0.10611351390032708,0.04093686259713134,0.6129875293050393,0.0121679315038574,0.4835828408305831,0.014305044804047042
9,val,0.5704057279236276,0.6336113769271664,0.10775627009570599,0.035708076512615414,0.6125284045938492,0.010668208771379785,0.4830280175360209,0.012515488676004355
9,test,0.7195121951219512,0.7277369142970648,0.10140000296563938,0.048159733597410215,0.6143555212685596,0.014308820392717237,0.4852090303525338,0.016826072131139895
