channel_idx,channel_name,mean_of_means,std_of_means,mean_of_stds,std_of_stds
0,DAPI,0.7609836459159851,0.004230768243574157,0.38011796176433565,0.003280927696001498
1,CD4,0.3995353549718857,0.005531705839472457,0.5979347646236419,0.005129554726954797
2,CD20,0.05944964624941349,0.002043075656113285,0.21792025566101075,0.00661315365327876
3,CD8,0.12318159937858582,0.0014364210092543328,0.22480892539024352,0.002514127783235283
4,FoxP3,0.10627537965774536,0.0011672927137976932,0.14216937124729156,0.001716362461420016
5,PanCK,0.9166849374771118,0.009289724104672527,0.9634256184101104,0.003923295670913343
6,Autofluorescence,1.1852484107017518,0.00432501074023943,0.50817169547081,0.0017925919821319646
