fold,split,time_days,time_years,auc
4,test,1095.75,3.0,0.5462962962962963
4,test,1461.0,4.0,0.5746606334841629
4,test,1826.25,5.0,0.5555555555555557
5,train,365.25,1.0,0.6508258475804114
5,train,730.5,2.0,0.5593388728323698
5,train,1095.75,3.0,0.6015791071970847
5,train,1461.0,4.0,0.6257368799424874
5,train,1826.25,5.0,0.6498290111142775
5,val,365.25,1.0,0.4814814814814815
5,val,730.5,2.0,0.6645962732919255
5,val,1095.75,3.0,0.6878306878306878
5,val,1461.0,4.0,0.7692307692307693
5,val,1826.25,5.0,0.7022222222222222
5,test,365.25,1.0,0.4230769230769231
5,test,730.5,2.0,0.3915343915343915
5,test,1095.75,3.0,0.44796380090497734
5,test,1461.0,4.0,0.44196428571428564
5,test,1826.25,5.0,0.46875
6,train,365.25,1.0,0.5486280487804879
6,train,730.5,2.0,0.4960491659350306
6,train,1095.75,3.0,0.5421768707482993
6,train,1461.0,4.0,0.5815209563589228
6,train,1826.25,5.0,0.5967213114754099
6,val,365.25,1.0,0.39506172839506176
6,val,730.5,2.0,0.512
6,val,1095.75,3.0,0.574074074074074
6,val,1461.0,4.0,0.5822222222222221
6,val,1826.25,5.0,0.5822222222222221
6,test,365.25,1.0,0.5902777777777778
6,test,730.5,2.0,0.5
6,test,1095.75,3.0,0.5238095238095238
6,test,1461.0,4.0,0.5067873303167421
6,test,1826.25,5.0,0.52
7,train,365.25,1.0,0.5509146341463416
7,train,730.5,2.0,0.5152637283236995
7,train,1095.75,3.0,0.5650308595514075
7,train,1461.0,4.0,0.5982284315137549
7,train,1826.25,5.0,0.6081967213114754
7,val,365.25,1.0,0.798076923076923
7,val,730.5,2.0,0.701388888888889
7,val,1095.75,3.0,0.6190476190476191
7,val,1461.0,4.0,0.6153846153846154
7,val,1826.25,5.0,0.7244444444444443
7,test,365.25,1.0,0.648
7,test,730.5,2.0,0.495
7,test,1095.75,3.0,0.5645933014354066
7,test,1461.0,4.0,0.6133333333333333
7,test,1826.25,5.0,0.6133333333333333
8,train,365.25,1.0,0.5918591859185918
8,train,730.5,2.0,0.5516278257833639
8,train,1095.75,3.0,0.6002093144950287
8,train,1461.0,4.0,0.6147535135906399
8,train,1826.25,5.0,0.6412521198417185
8,val,365.25,1.0,0.7407407407407408
8,val,730.5,2.0,0.68
8,val,1095.75,3.0,0.6076555023923444
8,val,1461.0,4.0,0.67420814479638
8,val,1826.25,5.0,0.72
8,test,365.25,1.0,0.8333333333333334
8,test,730.5,2.0,0.5714285714285714
8,test,1095.75,3.0,0.55
8,test,1461.0,4.0,0.7000000000000001
8,test,1826.25,5.0,0.7000000000000001
9,train,365.25,1.0,0.5681782764531711
9,train,730.5,2.0,0.5031429597701149
9,train,1095.75,3.0,0.5539755807027993
9,train,1461.0,4.0,0.576065340909091
9,train,1826.25,5.0,0.5923647932131495
9,val,365.25,1.0,0.72
9,val,730.5,2.0,0.5972222222222222
9,val,1095.75,3.0,0.5340909090909092
9,val,1461.0,4.0,0.5358851674641149
9,val,1826.25,5.0,0.6577777777777778
9,test,365.25,1.0,0.5916666666666667
9,test,730.5,2.0,0.7947368421052632
9,test,1095.75,3.0,0.7929292929292928
9,test,1461.0,4.0,0.826923076923077
9,test,1826.25,5.0,0.8095238095238096
