fold,split,time_days,time_years,actual_survival,pred_survival
0,train,0.0,0.0,1.0,1.0
0,train,18.446969696969695,0.050505050505050504,0.9873417721518988,0.9833656434690317
0,train,36.89393939393939,0.10101010101010101,0.9831223628691984,0.9794082853704625
0,train,55.340909090909086,0.1515151515151515,0.978902953586498,0.975690571524695
0,train,73.78787878787878,0.20202020202020202,0.9704641350210973,0.9702247884718723
0,train,92.23484848484847,0.2525252525252525,0.9704641350210973,0.9680681282333959
0,train,110.68181818181817,0.303030303030303,0.9662447257383969,0.9652372717434478
0,train,129.12878787878788,0.35353535353535354,0.9620253164556964,0.9609575387933375
0,train,147.57575757575756,0.40404040404040403,0.9620253164556964,0.9582829239256827
0,train,166.02272727272725,0.4545454545454545,0.9535864978902955,0.9503926699146488
0,train,184.46969696969694,0.505050505050505,0.949367088607595,0.9464622620627787
0,train,202.91666666666666,0.5555555555555556,0.9451476793248945,0.943741153560556
0,train,221.36363636363635,0.606060606060606,0.9451476793248945,0.9415209984972005
0,train,239.81060606060603,0.6565656565656565,0.9324894514767933,0.931668787623344
0,train,258.25757575757575,0.7070707070707071,0.9324894514767933,0.930256882527187
0,train,276.70454545454544,0.7575757575757576,0.9324894514767933,0.9288471718586565
0,train,295.1515151515151,0.8080808080808081,0.9198312236286922,0.919381873413773
0,train,313.5984848484848,0.8585858585858585,0.8987341772151902,0.8983505497914349
0,train,332.0454545454545,0.909090909090909,0.8902953586497894,0.8880277677294597
0,train,350.4924242424242,0.9595959595959594,0.8818565400843885,0.8794401588545365
0,train,368.9393939393939,1.01010101010101,0.8691983122362872,0.8675146380665603
0,train,387.3863636363636,1.0606060606060606,0.856540084388186,0.8564637901550718
0,train,405.8333333333333,1.1111111111111112,0.856540084388186,0.8533637642647893
0,train,424.280303030303,1.1616161616161615,0.8396624472573843,0.8398559248801221
0,train,442.7272727272727,1.212121212121212,0.8396624472573843,0.8368699952949886
0,train,461.1742424242424,1.2626262626262625,0.8312236286919833,0.8296040739375692
0,train,479.62121212121207,1.313131313131313,0.8270042194092828,0.8253609074800754
0,train,498.06818181818176,1.3636363636363635,0.8270042194092828,0.8203628449055501
0,train,516.5151515151515,1.4141414141414141,0.818565400843882,0.815680091033786
0,train,534.9621212121211,1.4646464646464645,0.8101265822784811,0.8097777336049029
0,train,553.4090909090909,1.5151515151515151,0.8059071729957806,0.8034719612833972
0,train,571.8560606060605,1.5656565656565653,0.7932489451476793,0.7934017825970857
0,train,590.3030303030303,1.6161616161616161,0.7932489451476793,0.7916382233978874
0,train,608.75,1.6666666666666667,0.7932489451476793,0.7898786864213877
0,train,627.1969696969696,1.717171717171717,0.780590717299578,0.7794965284700988
0,train,645.6439393939394,1.7676767676767677,0.7721518987341771,0.769265028051335
0,train,664.090909090909,1.818181818181818,0.7594936708860759,0.7586413785063734
0,train,682.5378787878788,1.8686868686868685,0.7594936708860759,0.7563619672170033
0,train,700.9848484848484,1.919191919191919,0.751054852320675,0.7488493233512106
0,train,719.4318181818181,1.9696969696969695,0.7383966244725737,0.7390789623974526
0,train,737.8787878787878,2.02020202020202,0.7383966244725737,0.7376436614428862
0,train,756.3257575757575,2.0707070707070705,0.7383966244725737,0.7362112211861784
0,train,774.7727272727273,2.121212121212121,0.7341772151898733,0.7345641989428726
0,train,793.2196969696969,2.1717171717171713,0.7341772151898733,0.7308836682775934
0,train,811.6666666666666,2.2222222222222223,0.7257383966244724,0.7228566643010427
0,train,830.1136363636363,2.2727272727272725,0.7215189873417719,0.7197372684172914
0,train,848.560606060606,2.323232323232323,0.7130801687763711,0.7131776633709311
0,train,867.0075757575756,2.3737373737373733,0.7046413502109703,0.704497401434728
0,train,885.4545454545454,2.424242424242424,0.7004219409282698,0.7001054113544407
0,train,903.9015151515151,2.4747474747474745,0.7004219409282698,0.6982599127771718
0,train,922.3484848484848,2.525252525252525,0.691983122362869,0.6906884158383129
0,train,940.7954545454545,2.5757575757575757,0.6793248945147677,0.6793685097885044
0,train,959.2424242424241,2.626262626262626,0.6793248945147677,0.6763786080764338
0,train,977.6893939393939,2.6767676767676765,0.6708860759493669,0.669466205359098
0,train,996.1363636363635,2.727272727272727,0.662447257383966,0.6611714220204908
0,train,1014.5833333333333,2.7777777777777777,0.6582278481012657,0.657702737240406
0,train,1033.030303030303,2.8282828282828283,0.6540084388185653,0.6542534347533687
0,train,1051.4772727272727,2.878787878787879,0.6497890295358648,0.6469587062051598
0,train,1069.9242424242423,2.929292929292929,0.6413502109704641,0.6415708504877803
0,train,1088.371212121212,2.9797979797979797,0.6371308016877637,0.6371830110024526
0,train,1106.8181818181818,3.0303030303030303,0.6329113924050632,0.632733396170244
0,train,1125.2651515151515,3.080808080808081,0.6202531645569619,0.619218513907667
0,train,1143.712121212121,3.1313131313131306,0.6160337552742615,0.6152013323468247
0,train,1162.1590909090908,3.181818181818181,0.6160337552742615,0.6132046217014067
0,train,1180.6060606060605,3.2323232323232323,0.611814345991561,0.6098016796467858
0,train,1199.0530303030303,3.282828282828283,0.5991561181434598,0.598905768699956
0,train,1217.5,3.3333333333333335,0.5949367088607594,0.5944872056003162
0,train,1235.9469696969695,3.383838383838383,0.590717299578059,0.5908401788831686
0,train,1254.3939393939393,3.434343434343434,0.5864978902953586,0.5868611529622805
0,train,1272.840909090909,3.4848484848484844,0.5864978902953586,0.5838459994119501
0,train,1291.2878787878788,3.5353535353535355,0.5780590717299577,0.5754851889570809
0,train,1309.7348484848483,3.585858585858585,0.5738396624472574,0.5682429814632107
0,train,1328.181818181818,3.636363636363636,0.5654008438818565,0.5646177288471494
0,train,1346.6287878787878,3.6868686868686864,0.5654008438818565,0.5626558196770035
0,train,1365.0757575757575,3.737373737373737,0.561181434599156,0.5595045964133982
0,train,1383.5227272727273,3.7878787878787876,0.5569620253164556,0.5554802568446524
0,train,1401.9696969696968,3.838383838383838,0.5527426160337552,0.5508306562648967
0,train,1420.4166666666665,3.8888888888888884,0.5485232067510547,0.5482209413573691
0,train,1438.8636363636363,3.939393939393939,0.5485232067510547,0.5470639302166455
0,train,1457.310606060606,3.9898989898989896,0.5485232067510547,0.5459094274651503
0,train,1475.7575757575755,4.04040404040404,0.5485232067510547,0.5447574275368069
0,train,1494.2045454545453,4.090909090909091,0.5400843881856539,0.5379143178526311
0,train,1512.651515151515,4.141414141414141,0.5358649789029535,0.5351350883508423
0,train,1531.0984848484848,4.191919191919192,0.5358649789029535,0.5336772056731072
0,train,1549.5454545454545,4.242424242424242,0.5358649789029535,0.5322234032108465
0,train,1567.992424242424,4.292929292929292,0.5274261603375527,0.5270573038330848
0,train,1586.4393939393938,4.3434343434343425,0.5274261603375527,0.5251337081760535
0,train,1604.8863636363635,4.393939393939394,0.5232067510548524,0.5227900689666106
0,train,1623.3333333333333,4.444444444444445,0.518987341772152,0.5172866328902915
0,train,1641.780303030303,4.494949494949495,0.5147679324894515,0.5134627771316365
0,train,1660.2272727272725,4.545454545454545,0.510548523206751,0.5105544944680588
0,train,1678.6742424242423,4.595959595959595,0.510548523206751,0.5087529105848652
0,train,1697.121212121212,4.646464646464646,0.510548523206751,0.5069578583484362
0,train,1715.5681818181818,4.696969696969697,0.5063291139240507,0.5024757402802885
0,train,1734.0151515151513,4.7474747474747465,0.5021097046413503,0.4990885331564235
0,train,1752.462121212121,4.797979797979798,0.49789029535864987,0.4954812286614374
0,train,1770.9090909090908,4.848484848484848,0.49367088607594944,0.4902567839021122
0,train,1789.3560606060605,4.898989898989899,0.489451476793249,0.4877508523317693
0,train,1807.8030303030303,4.949494949494949,0.489451476793249,0.486068480632077
0,train,1826.25,5.0,0.4852320675105486,0.48459275800625834
0,val,0.0,0.0,1.0,1.0
0,val,18.446969696969695,0.050505050505050504,1.0,0.9836391173537659
0,val,36.89393939393939,0.10101010101010101,1.0,0.9797460275669113
0,val,55.340909090909086,0.1515151515151515,1.0,0.9760884106372356
0,val,73.78787878787878,0.20202020202020202,0.9666666666666667,0.970710488179937
0,val,92.23484848484847,0.2525252525252525,0.9666666666666667,0.9685883331486776
0,val,110.68181818181817,0.303030303030303,0.9666666666666667,0.965802628635441
0,val,129.12878787878788,0.35353535353535354,0.9666666666666667,0.9615908545641046
0,val,147.57575757575756,0.40404040404040403,0.9333333333333333,0.9589585249710467
0,val,166.02272727272725,0.4545454545454545,0.9,0.9511921789038927
0,val,184.46969696969694,0.505050505050505,0.9,0.9473230257100529
0,val,202.91666666666666,0.5555555555555556,0.9,0.944644141867982
0,val,221.36363636363635,0.606060606060606,0.9,0.9424583265055265
0,val,239.81060606060603,0.6565656565656565,0.9,0.9327572878329139
0,val,258.25757575757575,0.7070707070707071,0.8666666666666667,0.9313668838392973
0,val,276.70454545454544,0.7575757575757576,0.8666666666666667,0.9299785998693029
0,val,295.1515151515151,0.8080808080808081,0.8333333333333334,0.920656102644994
0,val,313.5984848484848,0.8585858585858585,0.8333333333333334,0.8999353616541812
0,val,332.0454545454545,0.909090909090909,0.8333333333333334,0.8897615850408572
0,val,350.4924242424242,0.9595959595959594,0.8,0.8812961851874295
0,val,368.9393939393939,1.01010101010101,0.8,0.8695377087737908
0,val,387.3863636363636,1.0606060606060606,0.8,0.8586388536997903
0,val,405.8333333333333,1.1111111111111112,0.8,0.8555809769615216
0,val,424.280303030303,1.1616161616161615,0.8,0.8422542711828324
0,val,442.7272727272727,1.212121212121212,0.8,0.8393078231667302
0,val,461.1742424242424,1.2626262626262625,0.8,0.8321371235593653
0,val,479.62121212121207,1.313131313131313,0.8,0.8279490030490443
0,val,498.06818181818176,1.3636363636363635,0.8,0.8230152447679017
0,val,516.5151515151515,1.4141414141414141,0.8,0.8183922107060123
0,val,534.9621212121211,1.4646464646464645,0.8,0.8125643950176941
0,val,553.4090909090909,1.5151515151515151,0.8,0.8063373514226669
0,val,571.8560606060605,1.5656565656565653,0.7666666666666667,0.7963909387216515
0,val,590.3030303030303,1.6161616161616161,0.7666666666666667,0.7946488041602033
0,val,608.75,1.6666666666666667,0.7333333333333334,0.7929105682548638
0,val,627.1969696969696,1.717171717171717,0.7333333333333334,0.7826525696952341
0,val,645.6439393939394,1.7676767676767677,0.7333333333333334,0.7725408473867467
0,val,664.090909090909,1.818181818181818,0.7333333333333334,0.7620388217020004
0,val,682.5378787878788,1.8686868686868685,0.7333333333333334,0.7597851381038869
