fold,epoch,train_loss,val_loss,val_c_index,lr
0,1,4.924912452697754,2.8542792797088623,0.6972704714640199,1e-05
0,2,4.922396659851074,2.8529090881347656,0.684863523573201,1e-05
0,3,4.920994758605957,2.8514363765716553,0.6823821339950372,1e-05
0,4,4.9113688468933105,2.848451614379883,0.6923076923076923,1e-05
0,5,4.9239935874938965,2.8461599349975586,0.6898263027295285,1e-05
0,6,4.913351058959961,2.844714403152466,0.6947890818858561,1e-05
0,7,4.923091411590576,2.84368896484375,0.6947890818858561,1e-05
0,8,4.914618492126465,2.8420045375823975,0.6923076923076923,1e-05
0,9,4.912367820739746,2.8396594524383545,0.6972704714640199,1e-05
0,10,4.904725551605225,2.836937189102173,0.7022332506203474,1e-05
0,11,4.897980690002441,2.8343451023101807,0.7047146401985112,1e-05
0,12,4.904477119445801,2.831676959991455,0.707196029776675,1e-05
0,13,4.904516220092773,2.8291642665863037,0.707196029776675,1e-05
0,14,4.904778480529785,2.8265435695648193,0.707196029776675,1e-05
0,15,4.910327911376953,2.8241231441497803,0.7096774193548387,1e-05
0,16,4.917258262634277,2.821512460708618,0.7096774193548387,1e-05
0,17,4.898269176483154,2.819061279296875,0.7121588089330024,1e-05
0,18,4.9021735191345215,2.816972255706787,0.7121588089330024,1e-05
0,19,4.899935722351074,2.8148293495178223,0.7121588089330024,1e-05
0,20,4.894862651824951,2.812774419784546,0.707196029776675,1e-05
0,21,4.899566173553467,2.810730218887329,0.7096774193548387,1e-05
0,22,4.901317119598389,2.8086283206939697,0.7096774193548387,1e-05
0,23,4.8937296867370605,2.806577444076538,0.7121588089330024,1e-05
0,24,4.905017375946045,2.8045077323913574,0.7096774193548387,1e-05
0,25,4.893764972686768,2.8026673793792725,0.7096774193548387,1e-05
0,26,4.897369861602783,2.800678253173828,0.707196029776675,1e-05
0,27,4.883986473083496,2.7987656593322754,0.7047146401985112,1e-05
0,28,4.887091636657715,2.796996831893921,0.707196029776675,1e-05
0,29,4.880222320556641,2.7949984073638916,0.707196029776675,1e-05
0,30,4.895724296569824,2.7931909561157227,0.707196029776675,1e-05
1,1,4.9090752601623535,2.9005236625671387,0.49135802469135803,1e-05
1,2,4.907364845275879,2.9022469520568848,0.508641975308642,1e-05
1,3,4.908627510070801,2.902282476425171,0.508641975308642,1e-05
1,4,4.884328842163086,2.9012625217437744,0.5135802469135803,1e-05
1,5,4.902095794677734,2.902122974395752,0.5185185185185185,1e-05
1,6,4.885708332061768,2.9034218788146973,0.5037037037037037,1e-05
1,7,4.883206367492676,2.9039158821105957,0.5061728395061729,1e-05
1,8,4.883913993835449,2.9041860103607178,0.5012345679012346,1e-05
1,9,4.881385326385498,2.904869556427002,0.4962962962962963,1e-05
1,10,4.871126651763916,2.905651569366455,0.4962962962962963,1e-05
1,11,4.870359897613525,2.9064230918884277,0.49382716049382713,1e-05
1,12,4.863126277923584,2.9072153568267822,0.49382716049382713,1e-05
1,13,4.864255428314209,2.907926082611084,0.4962962962962963,1e-05
1,14,4.871633529663086,2.9086971282958984,0.4962962962962963,1e-05
1,15,4.858495712280273,2.909412384033203,0.4962962962962963,1e-05
1,16,4.8618693351745605,2.9099009037017822,0.49382716049382713,1e-05
1,17,4.851600170135498,2.9106757640838623,0.49135802469135803,1e-05
1,18,4.86334753036499,2.9117085933685303,0.49382716049382713,1e-05
1,19,4.867133140563965,2.9126474857330322,0.49382716049382713,1e-05
1,20,4.8671979904174805,2.9136407375335693,0.49135802469135803,1e-05
1,21,4.856670379638672,2.9147768020629883,0.49382716049382713,1e-05
1,22,4.86381196975708,2.9161040782928467,0.49135802469135803,1e-05
1,23,4.854030132293701,2.917278528213501,0.49382716049382713,1e-05
1,24,4.870651721954346,2.9184601306915283,0.49382716049382713,1e-05
1,25,4.84563684463501,2.919541835784912,0.4962962962962963,1e-05
1,26,4.844661235809326,2.920559883117676,0.49876543209876545,1e-05
1,27,4.849585056304932,2.9217140674591064,0.5012345679012346,1e-05
1,28,4.835240840911865,2.923121690750122,0.49876543209876545,1e-05
1,29,4.841635227203369,2.924558401107788,0.49876543209876545,1e-05
1,30,4.84856653213501,2.9259254932403564,0.5012345679012346,1e-05
2,1,4.922399997711182,2.9304559230804443,0.4088669950738916,1e-05
2,2,4.905370235443115,2.919631004333496,0.39901477832512317,1e-05
2,3,4.913506984710693,2.912612199783325,0.37192118226600984,1e-05
2,4,4.912553787231445,2.906986951828003,0.458128078817734,1e-05
2,5,4.912508010864258,2.903891086578369,0.5246305418719212,1e-05
2,6,4.908280372619629,2.9004666805267334,0.5270935960591133,1e-05
2,7,4.900431156158447,2.897646903991699,0.5467980295566502,1e-05
2,8,4.898248195648193,2.89532732963562,0.5541871921182266,1e-05
2,9,4.897387504577637,2.8935351371765137,0.5615763546798029,1e-05
2,10,4.899410247802734,2.892282724380493,0.5640394088669951,1e-05
2,11,4.894501209259033,2.8907904624938965,0.5689655172413793,1e-05
2,12,4.89522123336792,2.8894975185394287,0.5738916256157636,1e-05
2,13,4.893864154815674,2.888066530227661,0.5788177339901478,1e-05
2,14,4.900864601135254,2.8868257999420166,0.5788177339901478,1e-05
2,15,4.892755031585693,2.88553524017334,0.5788177339901478,1e-05
2,16,4.895801544189453,2.8844854831695557,0.583743842364532,1e-05
2,17,4.891621112823486,2.883392095565796,0.5862068965517241,1e-05
2,18,4.8832526206970215,2.8823928833007812,0.5886699507389163,1e-05
2,19,4.8899455070495605,2.8814713954925537,0.583743842364532,1e-05
2,20,4.879714012145996,2.880460023880005,0.5812807881773399,1e-05
2,21,4.881529808044434,2.8795177936553955,0.583743842364532,1e-05
2,22,4.883371829986572,2.8784594535827637,0.583743842364532,1e-05
2,23,4.888174533843994,2.8773915767669678,0.5862068965517241,1e-05
2,24,4.878528594970703,2.8764302730560303,0.583743842364532,1e-05
2,25,4.875579357147217,2.8755807876586914,0.5812807881773399,1e-05
2,26,4.871102809906006,2.8748037815093994,0.5812807881773399,1e-05
2,27,4.886239528656006,2.873974561691284,0.583743842364532,1e-05
2,28,4.881195068359375,2.87325119972229,0.5862068965517241,1e-05
2,29,4.873291969299316,2.8726112842559814,0.5886699507389163,1e-05
2,30,4.87196159362793,2.8720076084136963,0.5862068965517241,1e-05
3,1,4.936172008514404,2.8935844898223877,0.40273972602739727,1e-05
3,2,4.931865215301514,2.8893158435821533,0.4191780821917808,1e-05
3,3,4.93081521987915,2.8867316246032715,0.536986301369863,1e-05
3,4,4.926089286804199,2.8853840827941895,0.5726027397260274,1e-05
3,5,4.92652702331543,2.8850255012512207,0.5589041095890411,1e-05
3,6,4.919919013977051,2.8838443756103516,0.5671232876712329,1e-05
3,7,4.91370153427124,2.883065938949585,0.5698630136986301,1e-05
3,8,4.91500186920166,2.8815183639526367,0.5753424657534246,1e-05
3,9,4.912912368774414,2.88020920753479,0.5726027397260274,1e-05
3,10,4.91010856628418,2.8790135383605957,0.5698630136986301,1e-05
3,11,4.911876201629639,2.8777942657470703,0.5753424657534246,1e-05
3,12,4.911495208740234,2.876995801925659,0.5753424657534246,1e-05
3,13,4.915665626525879,2.8761239051818848,0.5753424657534246,1e-05
3,14,4.904579162597656,2.8753461837768555,0.5753424657534246,1e-05
3,15,4.901715278625488,2.874408006668091,0.5780821917808219,1e-05
3,16,4.904147148132324,2.8733270168304443,0.5808219178082191,1e-05
3,17,4.902762413024902,2.8722617626190186,0.5808219178082191,1e-05
3,18,4.903963565826416,2.8711800575256348,0.5808219178082191,1e-05
3,19,4.909208297729492,2.870138168334961,0.5835616438356165,1e-05
3,20,4.890617847442627,2.8690454959869385,0.5835616438356165,1e-05
3,21,4.910472869873047,2.867903232574463,0.5835616438356165,1e-05
3,22,4.896718978881836,2.866788387298584,0.589041095890411,1e-05
3,23,4.902693748474121,2.8657610416412354,0.5917808219178082,1e-05
3,24,4.892573833465576,2.864733934402466,0.5917808219178082,1e-05
3,25,4.908021450042725,2.8638081550598145,0.5917808219178082,1e-05
3,26,4.897336959838867,2.8629143238067627,0.5917808219178082,1e-05
3,27,4.8991594314575195,2.8619604110717773,0.5945205479452055,1e-05
3,28,4.8905253410339355,2.8610665798187256,0.5945205479452055,1e-05
3,29,4.897963047027588,2.860290288925171,0.5972602739726027,1e-05
3,30,4.893237113952637,2.859560012817383,0.5972602739726027,1e-05
4,1,4.902614116668701,2.9805121421813965,0.4666666666666667,1e-05
4,2,4.899137020111084,2.9755961894989014,0.5205128205128206,1e-05
4,3,4.896552085876465,2.973076581954956,0.5384615384615384,1e-05
4,4,4.891733646392822,2.972752332687378,0.5538461538461539,1e-05
4,5,4.891653537750244,2.972647190093994,0.5538461538461539,1e-05
4,6,4.890042304992676,2.972367286682129,0.5692307692307692,1e-05
4,7,4.883310794830322,2.9726943969726562,0.5769230769230769,1e-05
4,8,4.881042003631592,2.972698211669922,0.5794871794871795,1e-05
4,9,4.876668930053711,2.972848415374756,0.5717948717948718,1e-05
4,10,4.869325637817383,2.9731059074401855,0.5641025641025641,1e-05
4,11,4.874573707580566,2.9728639125823975,0.5615384615384615,1e-05
4,12,4.880683898925781,2.9728400707244873,0.5564102564102564,1e-05
4,13,4.873651504516602,2.973200798034668,0.558974358974359,1e-05
4,14,4.878607273101807,2.9733498096466064,0.5615384615384615,1e-05
4,15,4.876617431640625,2.9733285903930664,0.5615384615384615,1e-05
4,16,4.862342834472656,2.973104953765869,0.558974358974359,1e-05
4,17,4.860666751861572,2.9728896617889404,0.5564102564102564,1e-05
4,18,4.8607683181762695,2.972700834274292,0.558974358974359,1e-05
4,19,4.860659122467041,2.972546339035034,0.5641025641025641,1e-05
4,20,4.864400386810303,2.9724678993225098,0.5641025641025641,1e-05
4,21,4.854119300842285,2.972440481185913,0.5641025641025641,1e-05
4,22,4.859017372131348,2.9725701808929443,0.5666666666666667,1e-05
4,23,4.849389553070068,2.9727532863616943,0.5641025641025641,1e-05
4,24,4.858057498931885,2.9729154109954834,0.5641025641025641,1e-05
4,25,4.855992317199707,2.9732508659362793,0.5615384615384615,1e-05
4,26,4.86172342300415,2.973726749420166,0.5564102564102564,1e-05
4,27,4.846704483032227,2.974233865737915,0.5538461538461539,1e-05
4,28,4.846225261688232,2.9747116565704346,0.5512820512820513,1e-05
4,29,4.838946342468262,2.975318193435669,0.5564102564102564,1e-05
4,30,4.845551490783691,2.975938320159912,0.558974358974359,1e-05
5,1,4.930466175079346,2.8313684463500977,0.38995215311004783,1e-05
5,2,4.931408405303955,2.824662208557129,0.4569377990430622,1e-05
5,3,4.928014278411865,2.818413734436035,0.6220095693779905,1e-05
5,4,4.920608043670654,2.812588691711426,0.7009569377990431,1e-05
5,5,4.912550926208496,2.8086612224578857,0.6866028708133971,1e-05
5,6,4.919292449951172,2.8052337169647217,0.6889952153110048,1e-05
5,7,4.914901256561279,2.8025732040405273,0.6650717703349283,1e-05
5,8,4.912609577178955,2.8008480072021484,0.6626794258373205,1e-05
5,9,4.906745910644531,2.7995729446411133,0.65311004784689,1e-05
5,10,4.905628681182861,2.7989234924316406,0.6555023923444976,1e-05
5,11,4.8958330154418945,2.7980892658233643,0.6435406698564593,1e-05
5,12,4.906935691833496,2.79681658744812,0.6339712918660287,1e-05
5,13,4.904397964477539,2.7957584857940674,0.631578947368421,1e-05
5,14,4.904448509216309,2.7943830490112305,0.631578947368421,1e-05
5,15,4.900623321533203,2.792903184890747,0.6244019138755981,1e-05
5,16,4.899745464324951,2.791372299194336,0.6267942583732058,1e-05
5,17,4.905488014221191,2.789874315261841,0.6196172248803827,1e-05
5,18,4.89579963684082,2.7882080078125,0.6196172248803827,1e-05
5,19,4.896033763885498,2.7864484786987305,0.6172248803827751,1e-05
5,20,4.894236087799072,2.7846858501434326,0.6172248803827751,1e-05
5,21,4.892670631408691,2.782940149307251,0.6244019138755981,1e-05
5,22,4.8860554695129395,2.7811975479125977,0.6244019138755981,1e-05
5,23,4.886500358581543,2.7793643474578857,0.6267942583732058,1e-05
5,24,4.8932695388793945,2.777660369873047,0.6244019138755981,1e-05
5,25,4.880618095397949,2.775909423828125,0.6244019138755981,1e-05
5,26,4.887949466705322,2.7743942737579346,0.6244019138755981,1e-05
5,27,4.879986763000488,2.773056745529175,0.6244019138755981,1e-05
5,28,4.889669418334961,2.7719109058380127,0.6244019138755981,1e-05
5,29,4.881137847900391,2.770740509033203,0.6244019138755981,1e-05
5,30,4.884545803070068,2.7697079181671143,0.6244019138755981,1e-05
6,1,4.913483619689941,2.840135335922241,0.5517241379310345,1e-05
6,2,4.910910606384277,2.838055372238159,0.5541871921182266,1e-05
6,3,4.914662837982178,2.835972547531128,0.5689655172413793,1e-05
6,4,4.913453578948975,2.835505723953247,0.5566502463054187,1e-05
6,5,4.905020236968994,2.836602210998535,0.5689655172413793,1e-05
6,6,4.896576404571533,2.8380396366119385,0.5640394088669951,1e-05
6,7,4.904155254364014,2.840155839920044,0.5517241379310345,1e-05
6,8,4.896332263946533,2.841017723083496,0.5517241379310345,1e-05
6,9,4.900142192840576,2.84169340133667,0.5467980295566502,1e-05
6,10,4.8990397453308105,2.8427186012268066,0.5492610837438424,1e-05
6,11,4.892656326293945,2.8435471057891846,0.5443349753694581,1e-05
6,12,4.892545700073242,2.84432053565979,0.5467980295566502,1e-05
6,13,4.891361713409424,2.845125913619995,0.5467980295566502,1e-05
6,14,4.886850833892822,2.8457753658294678,0.5467980295566502,1e-05
6,15,4.884904384613037,2.846726894378662,0.5443349753694581,1e-05
6,16,4.888519763946533,2.8475043773651123,0.5492610837438424,1e-05
6,17,4.887860298156738,2.8480913639068604,0.5517241379310345,1e-05
6,18,4.884040832519531,2.84859561920166,0.5517241379310345,1e-05
6,19,4.880080699920654,2.8489532470703125,0.5517241379310345,1e-05
6,20,4.882059574127197,2.8493616580963135,0.5467980295566502,1e-05
6,21,4.882460117340088,2.8499441146850586,0.5492610837438424,1e-05
6,22,4.8747029304504395,2.8504669666290283,0.5443349753694581,1e-05
6,23,4.883965492248535,2.8509368896484375,0.5443349753694581,1e-05
6,24,4.866026878356934,2.8513004779815674,0.5443349753694581,1e-05
6,25,4.8716559410095215,2.851639747619629,0.5443349753694581,1e-05
6,26,4.860002517700195,2.8518989086151123,0.541871921182266,1e-05
6,27,4.871371746063232,2.852083921432495,0.541871921182266,1e-05
6,28,4.8697896003723145,2.8520567417144775,0.541871921182266,1e-05
6,29,4.876122951507568,2.852008581161499,0.541871921182266,1e-05
6,30,4.868773937225342,2.852083921432495,0.541871921182266,1e-05
7,1,4.924781322479248,2.7923710346221924,0.5975903614457831,1e-05
7,2,4.928244590759277,2.7917251586914062,0.5903614457831325,1e-05
7,3,4.924221515655518,2.790644645690918,0.5975903614457831,1e-05
7,4,4.925387382507324,2.7927846908569336,0.5975903614457831,1e-05
7,5,4.919225692749023,2.7945852279663086,0.6168674698795181,1e-05
7,6,4.91774320602417,2.797405481338501,0.5951807228915663,1e-05
7,7,4.910685062408447,2.7987468242645264,0.5927710843373494,1e-05
7,8,4.903322696685791,2.7996833324432373,0.5831325301204819,1e-05
7,9,4.902729511260986,2.8012027740478516,0.5734939759036145,1e-05
7,10,4.912227153778076,2.802236795425415,0.5614457831325301,1e-05
7,11,4.898665904998779,2.803121566772461,0.5614457831325301,1e-05
7,12,4.894417762756348,2.803656816482544,0.5590361445783133,1e-05
7,13,4.890328407287598,2.8041086196899414,0.5590361445783133,1e-05
7,14,4.893518924713135,2.8045613765716553,0.5590361445783133,1e-05
7,15,4.895354747772217,2.804900884628296,0.5518072289156627,1e-05
7,16,4.895888328552246,2.805269241333008,0.5518072289156627,1e-05
7,17,4.883971691131592,2.8056347370147705,0.5590361445783133,1e-05
7,18,4.889875411987305,2.806147575378418,0.5590361445783133,1e-05
7,19,4.892711639404297,2.806574583053589,0.5614457831325301,1e-05
7,20,4.891573905944824,2.8070180416107178,0.563855421686747,1e-05
7,21,4.874100685119629,2.807467222213745,0.5662650602409639,1e-05
7,22,4.8859543800354,2.8079280853271484,0.563855421686747,1e-05
7,23,4.885753631591797,2.808321714401245,0.5662650602409639,1e-05
7,24,4.881412029266357,2.808748960494995,0.5662650602409639,1e-05
7,25,4.8838982582092285,2.8091747760772705,0.5710843373493976,1e-05
7,26,4.884219169616699,2.809532403945923,0.5734939759036145,1e-05
7,27,4.873959541320801,2.809931993484497,0.5710843373493976,1e-05
7,28,4.871486186981201,2.8103911876678467,0.5759036144578313,1e-05
7,29,4.878912448883057,2.810809373855591,0.5759036144578313,1e-05
7,30,4.8743367195129395,2.811063051223755,0.5734939759036145,1e-05
8,1,4.901425361633301,2.976558208465576,0.30670103092783507,1e-05
8,2,4.896143436431885,2.9735074043273926,0.33762886597938147,1e-05
8,3,4.897026538848877,2.969421863555908,0.47680412371134023,1e-05
8,4,4.9031081199646,2.9652652740478516,0.5695876288659794,1e-05
8,5,4.891514778137207,2.9623048305511475,0.595360824742268,1e-05
8,6,4.895696640014648,2.9597928524017334,0.6082474226804123,1e-05
