fold,channel_idx,channel_name,mean,std
0,0,DAPI,0.7651143074035645,0.377440869808197
0,1,CD4,0.3957020938396454,0.595160961151123
0,2,CD20,0.060206782072782516,0.22171908617019653
0,3,CD8,0.121135413646698,0.22042807936668396
0,4,FoxP3,0.10599663108587265,0.14182165265083313
0,5,PanCK,0.9116033911705017,0.9614594578742981
0,6,Autofluorescence,1.1888163089752197,0.506630003452301
1,0,DAPI,0.7537476420402527,0.37629425525665283
1,1,CD4,0.40243691205978394,0.6020326018333435
1,2,CD20,0.05824432522058487,0.2137860655784607
1,3,CD8,0.12311064451932907,0.2248043417930603
1,4,FoxP3,0.10527677834033966,0.1398281753063202
1,5,PanCK,0.9116591215133667,0.9590978622436523
1,6,Autofluorescence,1.1780321598052979,0.5056489706039429
2,0,DAPI,0.7631372213363647,0.3812294602394104
2,1,CD4,0.3965287208557129,0.5969216227531433
2,2,CD20,0.06106369569897652,0.22429533302783966
2,3,CD8,0.12271760404109955,0.2263396978378296
2,4,FoxP3,0.10652413964271545,0.14293107390403748
2,5,PanCK,0.9034077525138855,0.9575831294059753
2,6,Autofluorescence,1.1809449195861816,0.5065212845802307
3,0,DAPI,0.7665929198265076,0.3802734911441803
3,1,CD4,0.3922117054462433,0.5899143815040588
3,2,CD20,0.056948624551296234,0.20842984318733215
3,3,CD8,0.12325434386730194,0.2259967178106308
3,4,FoxP3,0.10765594244003296,0.1448013335466385
3,5,PanCK,0.9183260202407837,0.9660628437995911
3,6,Autofluorescence,1.1851375102996826,0.5087531208992004
4,0,DAPI,0.7638797760009766,0.378603994846344
4,1,CD4,0.39976754784584045,0.6012376546859741
4,2,CD20,0.06124819070100784,0.22468212246894836
4,3,CD8,0.12210095673799515,0.22438837587833405
4,4,FoxP3,0.1049729436635971,0.14132727682590485
4,5,PanCK,0.9128357768058777,0.961531400680542
4,6,Autofluorescence,1.186974287033081,0.5084781646728516
5,0,DAPI,0.7604386806488037,0.38704389333724976
5,1,CD4,0.4100269675254822,0.6057432889938354
5,2,CD20,0.06238314136862755,0.22514334321022034
5,3,CD8,0.12593159079551697,0.22838804125785828
5,4,FoxP3,0.10715286433696747,0.1433786302804947
5,5,PanCK,0.9330782890319824,0.9689579606056213
5,6,Autofluorescence,1.1939080953598022,0.5115644931793213
6,0,DAPI,0.759112536907196,0.3803993761539459
6,1,CD4,0.39608535170555115,0.5905678868293762
6,2,CD20,0.05846362188458443,0.21517089009284973
6,3,CD8,0.12233097106218338,0.2210930436849594
6,4,FoxP3,0.10506635904312134,0.14006665349006653
6,5,PanCK,0.9227727651596069,0.9666427373886108
6,6,Autofluorescence,1.1858595609664917,0.5066808462142944
7,0,DAPI,0.7639738917350769,0.38391366600990295
7,1,CD4,0.39543434977531433,0.5961373448371887
7,2,CD20,0.059306345880031586,0.21748629212379456
7,3,CD8,0.12266793847084045,0.22549398243427277
7,4,FoxP3,0.10729199647903442,0.14405860006809235
7,5,PanCK,0.9083031415939331,0.9606536030769348
7,6,Autofluorescence,1.1826783418655396,0.5091627836227417
8,0,DAPI,0.7560792565345764,0.3781171441078186
8,1,CD4,0.4065835475921631,0.601517915725708
8,2,CD20,0.05594128742814064,0.2072194516658783
8,3,CD8,0.12328020483255386,0.22392120957374573
8,4,FoxP3,0.10786128044128418,0.14293871819972992
8,5,PanCK,0.9291290044784546,0.9681273698806763
8,6,Autofluorescence,1.1850420236587524,0.5096064805984497
9,0,DAPI,0.757760226726532,0.37786346673965454
9,1,CD4,0.4005763530731201,0.6001139879226685
9,2,CD20,0.06069044768810272,0.2212701290845871
9,3,CD8,0.12528632581233978,0.22723576426506042
9,4,FoxP3,0.10495486110448837,0.14054159820079803
9,5,PanCK,0.9157341122627258,0.9641398191452026
9,6,Autofluorescence,1.1850908994674683,0.5086708068847656
